Message Version,1.0.0,
Drone Serial Number,0,
Drone Powered Age,0,s,
Drone Armed Age,0,s,
Raw Data Filename,RAW_06-26-2026_12-52-41.csv,
Unix Start Time,1782478367,s,
Ground Wind Speed,0.0,m/s,
Ground Wind Direction,0,deg,
Ground Air Temperature,0.00,C,
Ground Humidity,0.0,%,
Ground Pressure,0.00,mB,
Home Position Latitude,0.000000,deg,
Home Position Longitude,0.000000,deg,
Home Position Altitude,0.0,m,
Altitude ASL,UTC Date,UTC Time,Time Since Start,Pressure,Air Temp,Rel Hum,Wind Speed,Wind Direction,Latitude,Longitude,Roll,Roll Rate,Pitch,Pitch Rate,Yaw,Yaw Rate,Ascent Rate,Speed Over Ground,Satellites,HDOP,Data Quality
m,MM/DD/YY,HH:MM:SS,s,mB,C,%,m/s,deg,deg,deg,deg,deg/s,deg,deg/s,deg,deg/s,m/s,m/s,N/A,N/A,N/A
362.5,06/26/26,12:52:48,0.00,970.27,21.98,55.5,3.2,204,35.222609,-97.439473,-1.2,-0.5,3.4,0.6,-156.4,0.0,3.0,0.2,16,0.9,0
367.5,06/26/26,12:52:50,1.50,969.74,21.95,55.7,3.4,204,35.222607,-97.439473,-1.2,0.6,3.7,-0.8,-155.9,0.0,3.0,0.2,16,0.9,0
372.5,06/26/26,12:52:51,3.00,969.21,21.91,55.9,4.4,204,35.222604,-97.439473,0.1,1.1,5.0,-0.9,-155.6,0.0,3.0,0.2,16,0.9,0
377.5,06/26/26,12:52:53,5.00,968.51,21.86,56.2,5.5,205,35.222601,-97.439473,1.4,0.1,6.5,0.7,-155.2,0.0,3.0,0.2,16,0.9,0
382.5,06/26/26,12:52:55,6.50,967.98,21.83,56.4,5.5,205,35.222598,-97.439475,0.9,-0.9,6.4,0.9,-154.9,0.0,3.0,0.2,16,0.9,0
387.5,06/26/26,12:52:56,8.00,967.45,21.79,56.7,4.8,205,35.222595,-97.439476,-0.6,-1.0,5.6,-0.3,-154.6,0.0,3.0,0.2,16,0.9,0
392.5,06/26/26,12:52:58,10.00,966.74,21.74,57.0,4.6,206,35.222592,-97.439479,-1.3,0.3,5.3,-0.8,-154.2,0.0,3.0,0.2,16,0.9,0
397.5,06/26/26,12:53:00,11.50,966.22,21.71,57.3,5.4,206,35.222590,-97.439482,-0.4,1.1,6.3,0.4,-153.8,0.0,3.0,0.2,16,0.9,0
402.5,06/26/26,12:53:01,13.00,965.69,21.67,57.5,6.5,207,35.222588,-97.439485,1.0,0.7,7.7,1.0,-153.2,0.0,3.0,0.2,16,0.9,0
407.5,06/26/26,12:53:03,15.00,964.98,21.62,57.9,6.9,208,35.222585,-97.439489,1.1,-0.6,8.3,-0.3,-152.3,0.0,3.0,0.3,16,0.9,0
412.5,06/26/26,12:53:05,16.50,964.46,21.59,58.1,6.4,209,35.222583,-97.439493,-0.1,-1.1,7.7,-1.1,-151.4,0.0,3.0,0.3,16,0.9,0
417.5,06/26/26,12:53:06,18.00,963.93,21.55,58.4,5.9,210,35.222581,-97.439496,-1.3,-0.4,7.0,-0.1,-150.4,0.0,3.0,0.2,16,0.8,0
422.5,06/26/26,12:53:08,20.00,963.23,21.50,58.7,6.4,211,35.222580,-97.439501,-0.8,0.9,7.7,1.0,-148.8,0.0,3.0,0.2,16,0.8,0
427.5,06/26/26,12:53:10,21.50,962.71,21.47,58.9,7.5,213,35.222579,-97.439505,0.6,1.0,9.2,0.1,-147.4,0.0,3.0,0.2,16,0.8,0
432.5,06/26/26,12:53:11,23.00,962.20,21.43,59.1,8.2,214,35.222578,-97.439509,1.4,0.1,10.1,-0.9,-146.0,0.0,3.0,0.2,16,0.8,0
437.5,06/26/26,12:53:13,25.00,961.51,21.38,59.4,8.0,216,35.222578,-97.439513,0.3,-1.0,9.8,-0.1,-143.9,0.0,3.0,0.2,16,0.8,0
442.5,06/26/26,12:53:15,26.50,960.99,21.35,59.6,7.3,218,35.222578,-97.439516,-1.1,-0.8,8.9,1.1,-142.3,0.0,3.0,0.2,16,0.8,0
447.5,06/26/26,12:53:16,28.00,960.48,21.31,59.8,7.3,219,35.222578,-97.439519,-1.3,0.3,8.9,0.5,-140.7,0.0,3.0,0.2,16,0.7,0
452.5,06/26/26,12:53:18,30.00,959.80,21.26,60.1,8.5,221,35.222579,-97.439522,0.2,1.0,10.4,-1.0,-138.6,0.0,3.0,0.1,16,0.7,0
457.5,06/26/26,12:53:20,31.50,959.29,21.23,60.3,9.4,223,35.222580,-97.439524,1.4,0.4,11.7,-0.5,-137.1,0.0,3.0,0.1,16,0.7,0
462.5,06/26/26,12:53:21,33.00,958.78,21.19,60.5,9.6,224,35.222581,-97.439526,1.1,-0.6,11.9,0.7,-135.7,0.0,3.0,0.1,16,0.7,0
467.5,06/26/26,12:53:23,35.00,958.11,21.14,60.7,8.9,226,35.222583,-97.439527,-0.6,-0.9,11.0,0.5,-134.0,0.0,3.0,0.1,16,0.7,0
472.5,06/26/26,12:53:25,36.50,957.60,21.11,60.9,8.5,227,35.222585,-97.439527,-1.5,-0.0,10.5,-0.8,-132.9,0.0,3.0,0.1,16,0.7,0
