Message Version,1.0.0,
Drone Serial Number,0,
Drone Powered Age,0,s,
Drone Armed Age,0,s,
Raw Data Filename,,
Unix Start Time,1782750992,s,
Ground Wind Speed,0.0,m/s,
Ground Wind Direction,0,deg,
Ground Air Temperature,0.00,C,
Ground Humidity,0.0,%,
Ground Pressure,0.00,mB,
Home Position Latitude,0.000000,deg,
Home Position Longitude,0.000000,deg,
Home Position Altitude,0.0,m,
Altitude ASL,UTC Date,UTC Time,Time Since Start,Pressure,Air Temp,Rel Hum,Wind Speed,Wind Direction,Latitude,Longitude,Roll,Roll Rate,Pitch,Pitch Rate,Yaw,Yaw Rate,Ascent Rate,Speed Over Ground,Satellites,HDOP,Data Quality
m,MM/DD/YY,HH:MM:SS,s,mB,C,%,m/s,deg,deg,deg,deg,deg/s,deg,deg/s,deg,deg/s,m/s,m/s,N/A,N/A,N/A
362.5,06/29/26,16:36:34,0.00,970.44,21.99,55.4,3.2,204,35.222609,-97.439473,-1.1,-0.5,3.5,0.6,-156.5,0.0,3.0,0.2,16,0.9,0
367.5,06/29/26,16:36:36,1.97,969.74,21.95,55.7,3.4,204,35.222607,-97.439473,-1.2,0.6,3.7,-0.8,-155.9,0.0,3.0,0.2,16,0.9,0
372.5,06/29/26,16:36:37,3.47,969.21,21.91,55.9,4.4,204,35.222604,-97.439473,0.1,1.1,5.0,-0.9,-155.6,0.0,3.0,0.2,16,0.9,0
377.5,06/29/26,16:36:39,4.97,968.69,21.87,56.1,5.4,205,35.222602,-97.439473,1.3,0.5,6.3,0.3,-155.3,0.0,3.0,0.2,16,0.9,0
382.5,06/29/26,16:36:40,6.52,968.16,21.83,56.4,5.4,205,35.222598,-97.439475,0.8,-0.9,6.4,0.9,-154.9,0.0,3.0,0.2,16,0.9,0
387.5,06/29/26,16:36:42,8.47,967.45,21.79,56.7,4.8,205,35.222595,-97.439476,-0.6,-1.0,5.6,-0.3,-154.6,0.0,3.0,0.2,16,0.9,0
392.5,06/29/26,16:36:44,10.48,966.92,21.74,57.1,4.6,206,35.222592,-97.439480,-1.4,0.5,5.4,-0.8,-154.1,0.0,3.0,0.2,16,0.9,0
397.5,06/29/26,16:36:45,11.47,966.39,21.71,57.2,5.3,206,35.222590,-97.439481,-0.5,1.0,6.2,0.2,-153.8,0.0,3.0,0.2,16,0.9,0
402.5,06/29/26,16:36:47,13.47,965.69,21.67,57.6,6.6,207,35.222587,-97.439485,1.2,0.7,8.0,1.0,-153.1,0.0,3.0,0.2,16,0.9,0
407.5,06/29/26,16:36:49,14.97,965.16,21.63,57.8,7.0,208,35.222585,-97.439489,1.3,-0.6,8.4,-0.3,-152.3,0.0,3.0,0.3,16,0.9,0
412.5,06/29/26,16:36:50,16.47,964.63,21.60,58.1,6.5,208,35.222583,-97.439492,0.1,-1.1,7.8,-1.1,-151.6,0.0,3.0,0.3,16,0.9,0
417.5,06/29/26,16:36:52,18.47,963.93,21.55,58.4,5.9,210,35.222581,-97.439496,-1.3,-0.4,7.0,-0.1,-150.4,0.0,3.0,0.2,16,0.8,0
422.5,06/29/26,16:36:54,19.97,963.41,21.51,58.6,6.1,211,35.222580,-97.439500,-1.2,0.7,7.3,1.1,-149.2,0.0,3.0,0.2,16,0.8,0
427.5,06/29/26,16:36:55,21.47,962.89,21.48,58.9,7.3,212,35.222579,-97.439504,0.4,1.1,8.9,0.4,-147.7,0.0,3.0,0.2,16,0.8,0
432.5,06/29/26,16:36:57,22.97,962.37,21.44,59.1,8.1,214,35.222578,-97.439507,1.3,0.5,9.9,-0.8,-146.5,0.0,3.0,0.2,16,0.8,0
437.5,06/29/26,16:36:59,25.14,961.68,21.39,59.4,8.0,216,35.222578,-97.439513,0.5,-1.0,9.8,-0.2,-144.1,0.0,3.0,0.2,16,0.8,0
442.5,06/29/26,16:37:01,27.07,960.99,21.34,59.7,7.2,218,35.222578,-97.439517,-1.4,-0.4,8.7,1.1,-141.7,0.0,3.0,0.2,16,0.8,0
447.5,06/29/26,16:37:02,28.47,960.48,21.31,59.8,7.3,219,35.222578,-97.439519,-1.3,0.3,8.9,0.5,-140.7,0.0,3.0,0.2,16,0.7,0
452.5,06/29/26,16:37:04,29.97,959.97,21.27,60.1,8.4,221,35.222579,-97.439522,0.1,1.1,10.4,-1.1,-138.6,0.0,3.0,0.1,16,0.7,0
457.5,06/29/26,16:37:06,31.72,959.46,21.23,60.2,9.4,223,35.222580,-97.439524,1.4,0.4,11.7,-0.5,-137.1,0.0,3.0,0.1,16,0.7,0
462.5,06/29/26,16:37:07,33.47,958.78,21.19,60.5,9.6,224,35.222581,-97.439526,1.1,-0.6,11.9,0.7,-135.7,0.0,3.0,0.1,16,0.7,0
467.5,06/29/26,16:37:09,35.07,958.28,21.15,60.7,8.8,226,35.222583,-97.439527,-0.7,-1.0,10.9,0.5,-134.0,0.0,3.0,0.1,16,0.7,0
472.5,06/29/26,16:37:10,36.47,957.77,21.12,60.9,8.6,227,35.222584,-97.439527,-1.4,-0.3,10.6,-0.6,-133.1,0.0,3.0,0.1,16,0.7,0
