Message Version,1.0.0,
Drone Serial Number,69420,
Drone Powered Age,0,s,
Drone Armed Age,0,s,
Raw Data Filename,RAW_07-01-2026_21-42-58.csv,
Unix Start Time,1782490641,s,
Ground Wind Speed,0.0,m/s,
Ground Wind Direction,0,deg,
Ground Air Temperature,0.00,C,
Ground Humidity,0.0,%,
Ground Pressure,0.00,mB,
Home Position Latitude,0.000000,deg,
Home Position Longitude,0.000000,deg,
Home Position Altitude,0.0,m,
Altitude ASL,UTC Date,UTC Time,Time Since Start,Pressure,Air Temp,Rel Hum,Wind Speed,Wind Direction,Latitude,Longitude,Roll,Roll Rate,Pitch,Pitch Rate,Yaw,Yaw Rate,Ascent Rate,Speed Over Ground,Satellites,HDOP,Data Quality
m,MM/DD/YY,HH:MM:SS,s,mB,C,%,m/s,deg,deg,deg,deg,deg/s,deg,deg/s,deg,deg/s,m/s,m/s,N/A,N/A,N/A
362.5,06/26/26,16:17:23,0.00,970.44,21.99,55.4,3.2,203,35.222610,-97.439473,-1.0,-0.7,3.6,0.8,-156.5,0.0,3.0,0.2,16,0.9,0
367.5,06/26/26,16:17:25,2.00,969.74,21.95,55.7,3.4,204,35.222607,-97.439473,-1.2,0.6,3.7,-0.8,-155.9,0.0,3.0,0.2,16,0.9,0
372.5,06/26/26,16:17:27,3.50,969.21,21.91,55.9,4.4,204,35.222604,-97.439473,0.1,1.1,5.0,-0.9,-155.6,0.0,3.0,0.2,16,0.9,0
377.5,06/26/26,16:17:28,5.00,968.69,21.87,56.1,5.4,205,35.222602,-97.439473,1.3,0.5,6.3,0.3,-155.3,0.0,3.0,0.2,16,0.9,0
382.5,06/26/26,16:17:30,6.55,968.16,21.83,56.4,5.4,205,35.222598,-97.439475,0.8,-0.9,6.4,0.9,-154.9,0.0,3.0,0.2,16,0.9,0
387.5,06/26/26,16:17:32,8.50,967.45,21.79,56.7,4.8,205,35.222595,-97.439476,-0.6,-1.0,5.6,-0.3,-154.6,0.0,3.0,0.2,16,0.9,0
392.5,06/26/26,16:17:34,10.50,966.92,21.74,57.1,4.6,206,35.222592,-97.439480,-1.4,0.5,5.4,-0.8,-154.1,0.0,3.0,0.2,16,0.9,0
397.5,06/26/26,16:17:35,11.50,966.39,21.71,57.2,5.3,206,35.222590,-97.439481,-0.5,1.0,6.2,0.2,-153.8,0.0,3.0,0.2,16,0.9,0
402.5,06/26/26,16:17:37,13.50,965.69,21.67,57.6,6.6,207,35.222587,-97.439485,1.2,0.7,8.0,1.0,-153.1,0.0,3.0,0.2,16,0.9,0
407.5,06/26/26,16:17:39,15.50,964.98,21.62,57.9,6.9,208,35.222585,-97.439490,1.0,-0.8,8.3,-0.6,-152.2,0.0,3.0,0.3,16,0.9,0
412.5,06/26/26,16:17:40,17.00,964.46,21.59,58.1,6.4,209,35.222583,-97.439493,-0.1,-1.1,7.7,-1.1,-151.4,0.0,3.0,0.3,16,0.9,0
417.5,06/26/26,16:17:42,18.50,963.93,21.55,58.4,5.9,210,35.222581,-97.439496,-1.3,-0.4,7.0,-0.1,-150.4,0.0,3.0,0.2,16,0.8,0
422.5,06/26/26,16:17:43,20.00,963.41,21.51,58.6,6.1,211,35.222580,-97.439500,-1.2,0.7,7.3,1.1,-149.2,0.0,3.0,0.2,16,0.8,0
427.5,06/26/26,16:17:45,21.50,962.89,21.48,58.9,7.3,212,35.222579,-97.439504,0.4,1.1,8.9,0.4,-147.7,0.0,3.0,0.2,16,0.8,0
432.5,06/26/26,16:17:46,23.00,962.37,21.44,59.1,8.1,214,35.222578,-97.439507,1.3,0.5,9.9,-0.8,-146.5,0.0,3.0,0.2,16,0.8,0
437.5,06/26/26,16:17:48,25.17,961.68,21.39,59.4,8.0,216,35.222578,-97.439513,0.5,-1.0,9.8,-0.2,-144.1,0.0,3.0,0.2,16,0.8,0
442.5,06/26/26,16:17:50,27.00,960.99,21.35,59.6,7.3,218,35.222578,-97.439516,-1.1,-0.8,8.9,1.1,-142.3,0.0,3.0,0.2,16,0.8,0
447.5,06/26/26,16:17:51,28.00,960.65,21.32,59.8,7.3,219,35.222578,-97.439519,-1.5,0.3,8.8,0.6,-140.8,0.0,3.0,0.2,16,0.8,0
452.5,06/26/26,16:17:53,29.55,960.14,21.28,60.0,8.1,221,35.222578,-97.439522,-0.3,1.1,10.0,-0.8,-139.1,0.0,3.0,0.2,16,0.7,0
457.5,06/26/26,16:17:55,31.75,959.46,21.23,60.2,9.4,223,35.222580,-97.439524,1.4,0.4,11.7,-0.5,-137.1,0.0,3.0,0.1,16,0.7,0
462.5,06/26/26,16:17:57,33.50,958.78,21.19,60.5,9.6,224,35.222581,-97.439526,1.1,-0.6,11.9,0.7,-135.7,0.0,3.0,0.1,16,0.7,0
467.5,06/26/26,16:17:58,35.10,958.28,21.15,60.7,8.8,226,35.222583,-97.439527,-0.7,-1.0,10.9,0.5,-134.0,0.0,3.0,0.1,16,0.7,0
472.5,06/26/26,16:18:00,36.50,957.77,21.12,60.9,8.6,227,35.222584,-97.439527,-1.4,-0.3,10.6,-0.6,-133.1,0.0,3.0,0.1,16,0.7,0
