Time,Altitude ASL,Pressure,Air Temp A,Air Temp B,Air Temp C,Rel Hum A,Rel Hum B,Rel Hum C,Latitude,Longitude,Roll,Roll Rate,Pitch,Pitch Rate,Yaw,Yaw Rate,Velocity North,Velocity East,Velocity Down,Custom Mode,Data Quality,Home Position Latitude,Home Position Longitude,Home Position Altitude,Drone Serial Number,Ground Wind Speed,Ground Wind Direction,Ground Air Temperature,Ground Humidity,Ground Pressure,Powered Age,Armed Age,Satellites,HDOP
s,m,mB,C,C,C,%,%,%,deg,deg,deg,deg/s,deg,deg/s,deg,deg/s,m/s,m/s,m/s,N/A,N/A,deg,deg,m,N/A,m/s,deg,C,%,mB,s,s,N/A,N/A
1782487508.24,357.0,971.14,22.26,21.83,22.02,56.6,54.2,54.8,35.222600,-97.439500,0.1,1.0,-0.2,-0.7,-163.0,0.0,0.00,0.00,0.00,5,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487509.24,357.0,971.14,22.25,21.81,22.05,56.6,54.1,54.9,35.222600,-97.439500,0.2,0.5,-0.2,-1.1,-163.0,0.0,0.00,0.00,0.00,5,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487510.24,357.0,971.14,22.24,21.80,22.07,56.6,54.1,54.9,35.222600,-97.439500,0.2,-0.3,-0.1,-0.6,-163.0,0.0,0.00,0.00,0.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487511.24,357.0,971.14,22.22,21.80,22.09,56.5,54.0,55.0,35.222601,-97.439497,0.2,-0.9,0.4,0.3,-162.4,0.0,-0.02,0.01,-0.30,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487512.24,358.6,970.79,22.18,21.78,22.10,56.6,54.0,55.1,35.222611,-97.439474,-0.1,-1.1,4.1,1.0,-157.0,0.0,-0.17,0.08,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487513.24,361.6,970.44,22.13,21.76,22.09,56.7,54.1,55.4,35.222610,-97.439473,-1.0,-0.8,3.5,1.0,-156.6,0.0,-0.17,0.06,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487514.24,364.6,970.09,22.08,21.75,22.08,56.8,54.2,55.6,35.222608,-97.439473,-1.5,-0.1,3.3,0.2,-156.2,0.0,-0.18,0.04,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487515.24,367.6,969.74,22.04,21.74,22.06,56.8,54.4,55.8,35.222607,-97.439473,-1.2,0.6,3.7,-0.8,-155.9,0.0,-0.18,0.02,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487516.24,370.6,969.39,21.99,21.74,22.05,56.9,54.5,56.1,35.222605,-97.439473,-0.4,1.1,4.5,-1.1,-155.7,0.0,-0.19,-0.01,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487517.24,373.6,969.04,21.94,21.73,22.02,57.0,54.7,56.3,35.222603,-97.439473,0.6,1.0,5.6,-0.6,-155.5,0.0,-0.19,-0.03,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487518.24,376.6,968.69,21.90,21.73,21.99,57.0,54.8,56.5,35.222602,-97.439473,1.3,0.5,6.3,0.3,-155.3,0.0,-0.19,-0.05,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487519.24,379.6,968.33,21.86,21.73,21.96,57.1,55.0,56.7,35.222600,-97.439474,1.4,-0.3,6.7,1.0,-155.1,0.0,-0.19,-0.07,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487520.24,382.6,967.98,21.83,21.73,21.92,57.2,55.2,57.0,35.222598,-97.439475,0.9,-0.9,6.4,0.9,-154.9,0.0,-0.19,-0.09,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487521.24,385.6,967.63,21.80,21.73,21.88,57.3,55.4,57.2,35.222596,-97.439476,-0.1,-1.1,5.9,0.1,-154.7,0.0,-0.19,-0.10,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487522.24,388.6,967.27,21.77,21.73,21.84,57.3,55.6,57.4,35.222595,-97.439477,-1.0,-0.8,5.3,-0.8,-154.5,0.0,-0.19,-0.12,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487523.24,391.6,966.92,21.75,21.72,21.79,57.4,55.8,57.5,35.222593,-97.439478,-1.5,-0.1,5.1,-1.1,-154.3,0.0,-0.18,-0.14,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487524.24,394.6,966.57,21.74,21.71,21.74,57.6,56.1,57.7,35.222591,-97.439480,-1.2,0.6,5.5,-0.6,-154.1,0.0,-0.18,-0.16,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487525.24,397.6,966.22,21.72,21.70,21.70,57.7,56.3,57.9,35.222590,-97.439482,-0.4,1.1,6.3,0.4,-153.8,0.0,-0.17,-0.17,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487526.24,400.6,965.86,21.72,21.68,21.65,57.8,56.5,58.0,35.222588,-97.439484,0.6,1.0,7.4,1.0,-153.4,0.0,-0.16,-0.18,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487527.24,403.6,965.51,21.71,21.66,21.60,58.0,56.8,58.1,35.222587,-97.439486,1.3,0.5,8.1,0.9,-153.0,0.0,-0.16,-0.19,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487528.24,406.6,965.16,21.71,21.64,21.56,58.1,57.0,58.2,35.222586,-97.439488,1.4,-0.3,8.5,0.1,-152.5,0.0,-0.15,-0.20,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487529.24,409.6,964.81,21.71,21.60,21.52,58.3,57.2,58.4,35.222584,-97.439490,0.8,-0.9,8.2,-0.8,-152.0,0.0,-0.14,-0.21,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487530.24,412.6,964.46,21.71,21.57,21.48,58.5,57.4,58.4,35.222583,-97.439493,-0.1,-1.1,7.7,-1.1,-151.4,0.0,-0.13,-0.22,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.9
1782487531.24,415.6,964.11,21.71,21.53,21.45,58.7,57.6,58.5,35.222582,-97.439495,-1.0,-0.8,7.1,-0.6,-150.7,0.0,-0.11,-0.22,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.8
1782487532.24,418.6,963.76,21.71,21.49,21.42,58.9,57.8,58.6,35.222581,-97.439497,-1.5,-0.1,6.9,0.4,-150.0,0.0,-0.10,-0.23,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.8
1782487533.24,421.6,963.41,21.70,21.44,21.40,59.1,58.0,58.7,35.222580,-97.439500,-1.2,0.7,7.3,1.1,-149.2,0.0,-0.09,-0.23,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.8
1782487534.24,424.6,963.06,21.70,21.39,21.38,59.4,58.2,58.7,35.222579,-97.439502,-0.4,1.1,8.1,0.9,-148.3,0.0,-0.08,-0.23,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.8
1782487535.24,427.6,962.71,21.68,21.35,21.37,59.6,58.4,58.8,35.222579,-97.439505,0.6,1.0,9.2,0.1,-147.4,0.0,-0.06,-0.22,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.8
1782487536.24,430.6,962.37,21.67,21.30,21.36,59.8,58.5,58.9,35.222578,-97.439507,1.3,0.5,9.9,-0.8,-146.5,0.0,-0.05,-0.22,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.8
1782487537.24,433.6,962.02,21.65,21.25,21.35,60.0,58.6,59.0,35.222578,-97.439510,1.4,-0.3,10.3,-1.1,-145.5,0.0,-0.03,-0.21,-3.00,3,0,0.000000,0.000000,0.0,0,0.0,0,0.00,0.0,0.00,0,0,16,0.8
