Message Version,1.0.0,
Drone Serial Number,0,
Drone Powered Age,0,s,
Drone Armed Age,0,s,
Raw Data Filename,RAW_06-26-2026_16-17-08.csv,
Unix Start Time,1782490642,s,
Ground Wind Speed,0.0,m/s,
Ground Wind Direction,0,deg,
Ground Air Temperature,0.00,C,
Ground Humidity,0.0,%,
Ground Pressure,0.00,mB,
Home Position Latitude,0.000000,deg,
Home Position Longitude,0.000000,deg,
Home Position Altitude,0.0,m,
UTC Date,UTC Time,Time Since Start,Altitude ASL,Pressure,Air Temp,Rel Hum,Wind Speed,Wind Direction,Latitude,Longitude,Roll,Roll Rate,Pitch,Pitch Rate,Yaw,Yaw Rate,Ascent Rate,Speed Over Ground,Satellites,HDOP,Data Quality
MM/DD/YY,HH:MM:SS,s,m,mB,C,%,m/s,deg,deg,deg,deg,deg/s,deg,deg/s,deg,deg/s,m/s,m/s,N/A,N/A,N/A
06/26/26,16:17:23,0,361.6,970.44,22.00,55.4,3.2,203,35.222610,-97.439473,-1.0,-0.8,3.5,1.0,-156.6,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:24,1,364.6,970.09,21.97,55.5,3.1,204,35.222608,-97.439473,-1.5,-0.1,3.3,0.2,-156.2,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:25,2,367.6,969.74,21.95,55.7,3.4,204,35.222607,-97.439473,-1.2,0.6,3.7,-0.8,-155.9,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:26,3,370.6,969.39,21.92,55.8,4.0,204,35.222605,-97.439473,-0.4,1.1,4.5,-1.1,-155.7,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:27,4,373.6,969.04,21.90,56.0,4.8,205,35.222603,-97.439473,0.6,1.0,5.6,-0.6,-155.5,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:28,5,376.6,968.69,21.87,56.1,5.4,205,35.222602,-97.439473,1.3,0.5,6.3,0.3,-155.3,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:29,6,379.6,968.33,21.85,56.3,5.6,205,35.222600,-97.439474,1.4,-0.3,6.7,1.0,-155.1,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:30,7,382.6,967.98,21.83,56.4,5.5,205,35.222598,-97.439475,0.9,-0.9,6.4,0.9,-154.9,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:31,8,385.6,967.63,21.80,56.6,5.0,205,35.222596,-97.439476,-0.1,-1.1,5.9,0.1,-154.7,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:32,9,388.6,967.27,21.78,56.8,4.6,205,35.222595,-97.439477,-1.0,-0.8,5.3,-0.8,-154.5,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:33,10,391.6,966.92,21.75,56.9,4.5,206,35.222593,-97.439478,-1.5,-0.1,5.1,-1.1,-154.3,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:34,11,394.6,966.57,21.73,57.1,4.8,206,35.222591,-97.439480,-1.2,0.6,5.5,-0.6,-154.1,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:35,12,397.6,966.22,21.71,57.3,5.4,206,35.222590,-97.439482,-0.4,1.1,6.3,0.4,-153.8,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:36,13,400.6,965.86,21.68,57.5,6.2,207,35.222588,-97.439484,0.6,1.0,7.4,1.0,-153.4,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:37,14,403.6,965.51,21.66,57.6,6.7,207,35.222587,-97.439486,1.3,0.5,8.1,0.9,-153.0,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:38,15,406.6,965.16,21.63,57.8,7.0,207,35.222586,-97.439488,1.4,-0.3,8.5,0.1,-152.5,0.0,3.0,0.3,16,0.9,0
06/26/26,16:17:39,16,409.6,964.81,21.61,58.0,6.8,208,35.222584,-97.439490,0.8,-0.9,8.2,-0.8,-152.0,0.0,3.0,0.3,16,0.9,0
06/26/26,16:17:40,17,412.6,964.46,21.59,58.1,6.4,209,35.222583,-97.439493,-0.1,-1.1,7.7,-1.1,-151.4,0.0,3.0,0.3,16,0.9,0
06/26/26,16:17:41,18,415.6,964.11,21.56,58.3,6.0,209,35.222582,-97.439495,-1.0,-0.8,7.1,-0.6,-150.7,0.0,3.0,0.3,16,0.8,0
06/26/26,16:17:42,19,418.6,963.76,21.54,58.5,5.8,210,35.222581,-97.439497,-1.5,-0.1,6.9,0.4,-150.0,0.0,3.0,0.2,16,0.8,0
06/26/26,16:17:43,20,421.6,963.41,21.51,58.6,6.1,211,35.222580,-97.439500,-1.2,0.7,7.3,1.1,-149.2,0.0,3.0,0.2,16,0.8,0
06/26/26,16:17:44,21,424.6,963.06,21.49,58.8,6.7,212,35.222579,-97.439502,-0.4,1.1,8.1,0.9,-148.3,0.0,3.0,0.2,16,0.8,0
06/26/26,16:17:45,22,427.6,962.71,21.47,58.9,7.5,213,35.222579,-97.439505,0.6,1.0,9.2,0.1,-147.4,0.0,3.0,0.2,16,0.8,0
06/26/26,16:17:46,23,430.6,962.37,21.44,59.1,8.1,214,35.222578,-97.439507,1.3,0.5,9.9,-0.8,-146.5,0.0,3.0,0.2,16,0.8,0
06/26/26,16:17:47,24,433.6,962.02,21.42,59.2,8.3,215,35.222578,-97.439510,1.4,-0.3,10.3,-1.1,-145.5,0.0,3.0,0.2,16,0.8,0
06/26/26,16:17:48,25,436.6,961.68,21.39,59.4,8.2,216,35.222578,-97.439512,0.8,-0.9,10.0,-0.6,-144.4,0.0,3.0,0.2,16,0.8,0
06/26/26,16:17:49,26,439.6,961.34,21.37,59.5,7.7,217,35.222578,-97.439514,-0.2,-1.1,9.5,0.4,-143.4,0.0,3.0,0.2,16,0.8,0
