Message Version,1.0.0,
Drone Serial Number,69420,
Drone Powered Age,0,s,
Drone Armed Age,0,s,
Raw Data Filename,RAW_07-01-2026_21-42-58.csv,
Unix Start Time,1782490641,s,
Ground Wind Speed,0.0,m/s,
Ground Wind Direction,0,deg,
Ground Air Temperature,0.00,C,
Ground Humidity,0.0,%,
Ground Pressure,0.00,mB,
Home Position Latitude,0.000000,deg,
Home Position Longitude,0.000000,deg,
Home Position Altitude,0.0,m,
UTC Date,UTC Time,Time Since Start,Altitude ASL,Pressure,Air Temp,Rel Hum,Wind Speed,Wind Direction,Latitude,Longitude,Roll,Roll Rate,Pitch,Pitch Rate,Yaw,Yaw Rate,Ascent Rate,Speed Over Ground,Satellites,HDOP,Data Quality
MM/DD/YY,HH:MM:SS,s,m,mB,C,%,m/s,deg,deg,deg,deg,deg/s,deg,deg/s,deg,deg/s,m/s,m/s,N/A,N/A,N/A
06/26/26,16:17:22,0,360.0,970.79,22.01,55.3,3.4,203,35.222611,-97.439474,-0.5,-1.1,3.8,1.1,-156.8,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:23,1,361.6,970.44,22.00,55.4,3.2,203,35.222610,-97.439473,-1.0,-0.8,3.5,1.0,-156.6,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:24,2,364.6,970.09,21.97,55.5,3.1,204,35.222608,-97.439473,-1.5,-0.1,3.3,0.2,-156.2,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:25,3,367.6,969.74,21.95,55.7,3.4,204,35.222607,-97.439473,-1.2,0.6,3.7,-0.8,-155.9,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:26,4,370.6,969.39,21.92,55.8,4.0,204,35.222605,-97.439473,-0.4,1.1,4.5,-1.1,-155.7,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:27,5,373.6,969.04,21.90,56.0,4.8,205,35.222603,-97.439473,0.6,1.0,5.6,-0.6,-155.5,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:28,6,376.6,968.69,21.87,56.1,5.4,205,35.222602,-97.439473,1.3,0.5,6.3,0.3,-155.3,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:29,7,381.0,968.33,21.84,56.3,5.6,205,35.222599,-97.439474,1.3,-0.6,6.6,1.1,-155.0,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:30,8,384.3,967.98,21.82,56.5,5.2,205,35.222597,-97.439475,0.4,-1.1,6.2,0.6,-154.8,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:31,9,385.8,967.63,21.80,56.6,5.0,205,35.222596,-97.439476,-0.2,-1.1,5.8,0.1,-154.7,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:32,10,388.6,967.27,21.78,56.8,4.6,205,35.222595,-97.439477,-1.0,-0.8,5.3,-0.8,-154.5,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:34,12,394.6,966.74,21.73,57.1,4.8,206,35.222591,-97.439480,-1.2,0.6,5.5,-0.6,-154.1,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:35,13,399.0,966.22,21.70,57.3,5.7,206,35.222589,-97.439483,0.1,1.1,6.8,0.8,-153.6,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:36,14,402.0,965.86,21.68,57.5,6.5,207,35.222588,-97.439485,1.0,0.8,7.8,1.1,-153.2,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:37,15,403.6,965.51,21.66,57.6,6.7,207,35.222587,-97.439486,1.3,0.5,8.1,0.9,-153.0,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:38,16,408.0,965.16,21.63,57.8,7.0,208,35.222585,-97.439489,1.3,-0.6,8.4,-0.3,-152.3,0.0,3.0,0.3,16,0.9,0
