Message Version,1.0.0,
Drone Serial Number,69420,
Drone Powered Age,0,s,
Drone Armed Age,0,s,
Raw Data Filename,RAW_06-26-2026_16-17-08_2.csv,
Unix Start Time,1782490641,s,
Ground Wind Speed,0.0,m/s,
Ground Wind Direction,0,deg,
Ground Air Temperature,0.00,C,
Ground Humidity,0.0,%,
Ground Pressure,0.00,mB,
Home Position Latitude,0.000000,deg,
Home Position Longitude,0.000000,deg,
Home Position Altitude,0.0,m,
UTC Date,UTC Time,Time Since Start,Altitude ASL,Pressure,Air Temp,Rel Hum,Wind Speed,Wind Direction,Latitude,Longitude,Roll,Roll Rate,Pitch,Pitch Rate,Yaw,Yaw Rate,Ascent Rate,Speed Over Ground,Satellites,HDOP,Data Quality
MM/DD/YY,HH:MM:SS,s,m,mB,C,%,m/s,deg,deg,deg,deg,deg/s,deg,deg/s,deg,deg/s,m/s,m/s,N/A,N/A,N/A
06/26/26,16:17:22,0,360.0,970.79,22.01,55.3,3.4,203,35.222611,-97.439474,-0.5,-1.1,3.8,1.1,-156.8,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:23,1,361.6,970.44,22.00,55.4,3.2,203,35.222610,-97.439473,-1.0,-0.8,3.5,1.0,-156.6,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:24,2,364.6,970.09,21.97,55.5,3.1,204,35.222608,-97.439473,-1.5,-0.1,3.3,0.2,-156.2,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:25,3,367.6,969.74,21.95,55.7,3.4,204,35.222607,-97.439473,-1.2,0.6,3.7,-0.8,-155.9,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:26,4,370.6,969.39,21.92,55.8,4.0,204,35.222605,-97.439473,-0.4,1.1,4.5,-1.1,-155.7,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:27,5,373.6,969.04,21.90,56.0,4.8,205,35.222603,-97.439473,0.6,1.0,5.6,-0.6,-155.5,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:28,6,376.6,968.69,21.87,56.1,5.4,205,35.222602,-97.439473,1.3,0.5,6.3,0.3,-155.3,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:29,7,381.0,968.33,21.84,56.3,5.6,205,35.222599,-97.439474,1.3,-0.6,6.6,1.1,-155.0,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:30,8,384.3,967.98,21.82,56.5,5.2,205,35.222597,-97.439475,0.4,-1.1,6.2,0.6,-154.8,0.0,3.0,0.2,16,0.9,0
06/26/26,16:17:31,9,385.8,967.63,21.80,56.6,5.0,205,35.222596,-97.439476,-0.2,-1.1,5.8,0.1,-154.7,0.0,3.0,0.2,16,0.9,0
